WO	1877	BRI[e]	Spencer Gore	BRI	William Marshall	6-1, 6-2, 6-4	3
WO	1878	BRI	Frank Hadow ‡	BRI	Spencer Gore	7-5, 6-1, 9-7	3
WO	1879	BRI	John Hartley ◊	BRI	Vere St. Leger Goold	6-2, 6-4, 6-2	3
WO	1880	BRI	John Hartley †	BRI	Herbert Lawford	6-3, 6-2, 2-6, 6-3	3
WO	1881	BRI	William Renshaw ‡	BRI	John Hartley	6-0, 6-1, 6-1	3
USO	1881	USA	Richard Sears *	USA	William Glyn	6-0, 6-3, 6-2	4
WO	1882	BRI	William Renshaw †	BRI	Ernest Renshaw	6-1, 2-6, 4-6, 6-2, 6-2	3
USO	1882	USA	Richard Sears	USA	Clarence Clark	6-1, 6-4, 6-0	4
WO	1883	BRI	William Renshaw †	BRI	Ernest Renshaw	2-6, 6-3, 6-3, 4-6, 6-3	3
USO	1883	USA	Richard Sears	USA	James Dwight	6-2, 6-0, 9-7	4
WO	1884	BRI	William Renshaw †	BRI	Herbert Lawford	6-0, 6-4, 9-7	3
USO	1884	USA	Richard Sears †	USA	Howard Taylor	6-0, 1-6, 6-0, 6-2	4
WO	1885	BRI	William Renshaw †	BRI	Herbert Lawford	7-5, 6-2, 4-6, 7-5	3
USO	1885	USA	Richard Sears †	USA	Godfrey Brinley	6-3, 4-6, 6-0, 6-3	4
WO	1886	BRI	William Renshaw †	BRI	Herbert Lawford	6-0, 5-7, 6-3, 6-4	3
USO	1886	USA	Richard Sears †	USA	Robert Livingston Beeckman	4-6, 6-1, 6-3, 6-4	4
WO	1887	BRI	Herbert Lawford ◊	BRI	Ernest Renshaw	1-6, 6-3, 3-6, 6-4, 6-4	3
USO	1887	USA	Richard Sears †	USA	Henry Slocum	6-1, 6-3, 6-2	4
WO	1888	BRI	Ernest Renshaw ‡	BRI	Herbert Lawford	6-3, 7-5, 6-0	3
USO	1888	USA	Henry Slocum ◊	USA	Howard Taylor	6-4, 6-1, 6-0	4
WO	1889	BRI	William Renshaw ‡	BRI	Ernest Renshaw	6-4, 6-1, 3-6, 6-0	3
USO	1889	USA	Henry Slocum †	USA	Quincy Shaw	6-3, 6-1, 4-6, 6-2	4
WO	1890	BRI	Willoughby Hamilton ‡	BRI	William Renshaw	6-8, 6-2, 3-6, 6-1, 6-1	3
USO	1890	USA	Oliver Campbell ‡	USA	Henry Slocum	6-2, 4-6, 6-3, 6-1	4
FO	1891	GBR	H. Briggs	FRA	P. Baigneres	6-3, 6-4	2
WO	1891	BRI	Wilfred Baddeley ◊	BRI	Joshua Pim	6-4, 1-6, 7-5, 6-0	3
USO	1891	USA	Oliver Campbell †	USA	Clarence Hobart	2-6, 7-5, 7-9, 6-1, 6-2	4
FO	1892	FRA	Jean Schopfer	USA	Francis Louis Fassitt	6-2, 1-6, 6-2	2
WO	1892	BRI	Wilfred Baddeley †	BRI	Joshua Pim	4-6, 6-3, 6-3, 6-2	3
USO	1892	USA	Oliver Campbell †	USA	Frederick Hovey	7-5, 3-6, 6-3, 7-5	4
FO	1893	FRA	Laurent Riboulet	FRA	Jean Schopfer	6-3, 6-3	2
WO	1893	BRI	Joshua Pim ‡	BRI	Wilfred Baddeley	3-6, 6-1, 6-3, 6-2	3
USO	1893	USA	Robert Wrenn ◊	USA	Frederick Hovey	6-4, 3-6, 6-4, 6-4	4
FO	1894	FRA	André Vacherot	FRA	Gérard Brosselin	1-6, 6-3, 6-3	2
WO	1894	BRI	Joshua Pim †	BRI	Wilfred Baddeley	10-8, 6-2, 8-6	3
USO	1894	USA	Robert Wrenn †	GBR	Manliff Goodbody	6-8, 6-1, 6-4, 6-4	4
FO	1895	FRA	André Vacherot	FRA	Laurent Riboulet	9-7, 6-2	2
WO	1895	BRI	Wilfred Baddeley ◊	BRI	Wilberforce Eaves	4-6, 2-6, 8-6, 6-2, 6-3	3
USO	1895	USA	Frederick Hovey ‡	USA	Robert Wrenn	6-3, 6-2, 6-4	4
FO	1896	FRA	André Vacherot	FRA	Gérard Brosselin	6-1, 7-5	2
WO	1896	BRI	Harold Mahony ‡	BRI	Wilfred Baddeley	6-2, 6-8, 5-7, 8-6, 6-3	3
