WO	1884	BRI[e]	Maud Watson	BRI	Lillian Watson	6–8, 6–3, 6–3	3
WO	1885	BRI	Maud Watson	BRI	Blanche Bingley	6–1, 7–5	3
WO	1886	BRI	Blanche Bingley ‡	BRI	Maud Watson	6–3, 6–3	3
WO	1887	BRI	Lottie Dod ‡	BRI	Blanche Bingley	6–2, 6–0	3
USO	1887	USA	Ellen Hansell	USA	Laura Knight	6–1, 6–0	4
WO	1888	BRI	Lottie Dod †	BRI	Blanche Bingley Hillyard	6–3, 6–3	3
USO	1888	USA	Bertha Townsend ‡	USA	Ellen Hansell	6–3, 6–5	4
WO	1889	BRI	Blanche Bingley Hillyard ◊	BRI	Lena Rice	4–6, 8–6, 6–4	3
USO	1889	USA	Bertha Townsend † (2)	USA	Lida Voorhees	7–5, 6–2	4
WO	1890	BRI	Lena Rice ◊	BRI	May Jacks	6–4, 6–1	3
USO	1890	USA	Ellen Roosevelt ‡	USA	Bertha Townsend	6–2, 6–2	4
WO	1891	BRI	Lottie Dod ◊	BRI	Blanche Bingley Hillyard	6–2, 6–1	3
USO	1891	BRI[f]	Mabel Cahill ‡	USA	Ellen Roosevelt	6–4, 6–1, 4–6, 6–3	4
WO	1892	BRI	Lottie Dod †	BRI	Blanche Bingley Hillyard	6–1, 6–1	3
USO	1892	BRI	Mabel Cahill † (2)	USA	Elisabeth Moore	5–7, 6–3, 6–4, 4–6, 6–2	4
WO	1893	BRI	Lottie Dod †	BRI	Blanche Bingley Hillyard	6–8, 6–1, 6–4	3
USO	1893	USA	Aline Terry ◊	USA	Augusta Schultz	6–1, 6–3	4
WO	1894	BRI	Blanche Bingley Hillyard ◊	BRI	Edith Austin	6–1, 6–1	3
USO	1894	USA	Helen Hellwig ‡	USA	Aline Terry	7–5, 3–6, 6–0, 3–6, 6–3	4
WO	1895	BRI	Charlotte Cooper ◊	BRI	Helen Jackson	7–5, 8–6	3
USO	1895	USA	Juliette Atkinson ‡	USA	Helen Hellwig	6–4, 6–2, 6–1	4
WO	1896	BRI	Charlotte Cooper †	BRI	Alice Simpson Pickering	6–2, 6–3	3
USO	1896	USA	Elisabeth Moore ‡	USA	Juliette Atkinson	6–4, 4–6, 6–2, 6–2	4
FO	1897	FRA	Adine Masson †	FRA	P Girod	6–3, 6–1	2
WO	1897	BRI	Blanche Bingley Hillyard ‡	BRI	Charlotte Cooper	5–7, 7–5, 6–2	3
USO	1897	USA	Juliette Atkinson ‡	USA	Elisabeth Moore (2)	6–3, 6–3, 4–6, 3–6, 6–3	4
FO	1898	FRA	Adine Masson †	FRA	—	Only entrant (no final)[d]	2
